learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes),tree size (leaves)
6900.0,3.245972673,2.475231138253657E-6,1000.0,65.38471408096076,98.02730967371694,6900.0,3097952.0,21.0
7000.0,3.293347423,2.512863656432026E-6,1000.0,72.64407364289947,102.4404146774621,7000.0,3070568.0,22.0
7100.0,3.340045024,2.550304653701869E-6,1000.0,77.69779182231704,105.20756707131831,7100.0,3099240.0,22.0
7200.0,3.389463422,2.5902915311541696E-6,1000.0,67.18703690193796,94.33511751313729,7200.0,3127744.0,22.0
7300.0,3.436680528,2.6288372046817836E-6,1000.0,58.39599238805984,85.23545028646612,7300.0,3155576.0,22.0
7400.0,3.484795917,2.66778309661484E-6,1000.0,52.48323394423787,80.63310480893374,7400.0,3128816.0,23.0
7500.0,3.533026297,2.7074500195834244E-6,1000.0,67.44430059681746,101.53821663625337,7500.0,3157272.0,23.0
7600.0,3.588185719,2.7528997316310636E-6,1000.0,71.24715296379081,103.3886232084261,7600.0,3185032.0,23.0
7700.0,3.635655024,2.7916711327883456E-6,1000.0,78.7021019441566,108.1050223524468,7700.0,3157192.0,24.0
7800.0,3.683205723,2.8308552245432925E-6,1000.0,73.47452201848505,102.94693964002272,7800.0,3185336.0,24.0
7900.0,3.730952788,2.869860210729297E-6,1000.0,60.18925286133261,87.4708546564765,7900.0,3157736.0,25.0
8000.0,3.779064994,2.9095072107449358E-6,1000.0,53.72061494846781,82.46125549273953,8000.0,3185352.0,25.0
8100.0,3.826849483,2.9485343628375417E-6,1000.0,63.9276859374245,99.44461873826792,8100.0,3157056.0,26.0
8200.0,3.874666822,2.987246625226028E-6,1000.0,70.66347000335819,105.17311799503989,8200.0,3129432.0,27.0
8300.0,3.922762893,3.0265457755326934E-6,1000.0,79.4568354195636,110.90350695007031,8300.0,3158464.0,27.0
8400.0,3.972626754,3.0676502668269617E-6,1000.0,79.408671316791,110.31352987982365,8400.0,3186440.0,27.0
8500.0,4.020989495,3.1078688558273595E-6,1000.0,61.1348415236527,89.80915532859227,8500.0,3214536.0,27.0
8600.0,4.07144186,3.1501896999308794E-6,1000.0,57.54322710722042,87.73180321575367,8600.0,3242464.0,27.0
8700.0,4.119521012,3.1908686912373037E-6,1000.0,60.06173739155585,94.71290009838548,8700.0,3270512.0,27.0
8800.0,4.16781646,3.2320919155471853E-6,1000.0,71.65383186528736,108.00880844040454,8800.0,3299424.0,27.0
8900.0,4.216857169,3.2743071085630314E-6,1000.0,79.80802233274014,113.24658539753374,8900.0,3327472.0,27.0
9000.0,4.265833082,3.3168273684798593E-6,1000.0,82.04191498729801,114.25932935585676,9000.0,3355952.0,27.0
9100.0,4.315471608,3.3602858532930205E-6,1000.0,67.0078656560424,96.95611617880735,9100.0,3384216.0,27.0
9200.0,4.364633344,3.4036845440070286E-6,1000.0,60.05259205975789,90.70413956641505,9200.0,3412336.0,27.0
9300.0,4.414370943,3.447244178353198E-6,1000.0,55.98593473868457,88.32179964011874,9300.0,3385336.0,28.0
9400.0,4.465754757,3.492616797157598E-6,1000.0,72.70458714907778,111.62589645069941,9400.0,3413264.0,28.0
9500.0,4.515567128,3.5362455242061137E-6,1000.0,79.27270789060805,115.29793558149538,9500.0,3385616.0,29.0
9600.0,4.567126824,3.581791269526732E-6,1000.0,84.6050001360992,118.31090389458511,9600.0,3414600.0,29.0
9700.0,4.618574226,3.6261318543555108E-6,1000.0,75.43812001890963,108.48383835409855,9700.0,3331504.0,30.0
9800.0,4.668148263,3.6692200296514997E-6,1000.0,63.24222516285526,94.96845482962462,9800.0,3359744.0,30.0
9900.0,4.718604408,3.7134353779231526E-6,1000.0,56.14930660505131,89.25560162898519,9900.0,3387360.0,30.0
10000.0,4.768167422,3.75722738774436E-6,1000.0,73.4517403035717,113.81366580990976,10000.0,3415384.0,30.0
10100.0,4.81763217,3.801291491508515E-6,1000.0,78.50551958581173,117.1241755623602,10100.0,3443432.0,30.0
10200.0,4.867850009,3.8464042521791965E-6,1000.0,86.72106816724539,122.34329344458281,10200.0,3472512.0,30.0
10300.0,4.917769053,3.891601199328276E-6,1000.0,83.8743090150658,119.61971204646164,10300.0,3499816.0,30.0
10400.0,4.974411077,4.0985885419409865E-6,1000.0,65.67381551697503,97.64938840335697,10400.0,3479872.0,31.0
10500.0,5.093980865,4.207090869605183E-6,1000.0,59.73920790837762,93.43334170906178,10500.0,3507680.0,31.0
10600.0,5.151547687,4.258055296985434E-6,1000.0,69.58213426013768,110.35514259673367,10600.0,3422136.0,32.0
10700.0,5.202285355,4.302611538618507E-6,1000.0,79.58590340020825,120.58909825175131,10700.0,3394536.0,33.0
10800.0,5.252377877,4.3462404553442595E-6,1000.0,88.73320050257021,126.1583536177667,10800.0,3366696.0,34.0
10900.0,5.302343928,4.39012829042449E-6,1000.0,90.11414451467654,126.58073882346937,10900.0,3395248.0,34.0
11000.0,5.352115691,4.434209708064843E-6,1000.0,70.33988864910611,103.90781593806457,11000.0,3423536.0,34.0
11100.0,5.401978442,4.478732897979032E-6,1000.0,65.43193351523834,100.20979783350262,11100.0,3451536.0,34.0
11200.0,5.452631153,4.523614568649747E-6,1000.0,66.2606941209594,105.43746394206754,11200.0,3425064.0,35.0
11300.0,5.502956265,4.5685773749153166E-6,1000.0,81.48136655986596,124.1318513765968,11300.0,3453592.0,35.0
11400.0,5.553893068,4.614449968713546E-6,1000.0,88.90110511094421,128.39182732741483,11400.0,3481160.0,35.0
11500.0,5.604293447,4.659490244306861E-6,1000.0,92.29303458046081,129.93813222936564,11500.0,3454376.0,36.0
11600.0,5.656392023,4.704161093605497E-6,1000.0,78.15043568048698,113.08244336200234,11600.0,3314368.0,37.0
11700.0,5.704946877,4.746143355678814E-6,1000.0,67.59849559999981,101.96697176950558,11700.0,3342224.0,37.0
11800.0,5.755888554,4.790562147823061E-6,1000.0,61.18675494707272,97.89013712148464,11800.0,3370512.0,37.0
11900.0,5.80597379,4.833870327941959E-6,1000.0,81.98742136082154,126.4108862702768,11900.0,3342432.0,38.0
12000.0,5.854715792,4.875674450297242E-6,1000.0,87.09478268530738,128.78013009231927,12000.0,3315264.0,39.0
12100.0,5.90349669,4.917876488782927E-6,1000.0,93.048756843395,132.20032392197857,12100.0,3344152.0,39.0
12200.0,5.951647581,4.9598855617879475E-6,1000.0,86.1866884702212,123.7813795163426,12200.0,3372416.0,39.0
12300.0,5.999559986,5.00203184291353E-6,1000.0,69.39484273473428,104.33748232682662,12300.0,3400272.0,39.0
12400.0,6.049100878,5.045964868727684E-6,1000.0,62.682323500427685,99.24455329270658,12400.0,3427912.0,39.0
12500.0,6.098997754,5.090572847728888E-6,1000.0,79.0672669373028,124.13869140280336,12500.0,3455744.0,39.0
12600.0,6.152400644,5.138701713996279E-6,1000.0,86.24664808677845,130.169670573596,12600.0,3483720.0,39.0
12700.0,6.202627523,5.184339850057311E-6,1000.0,93.9541858842189,134.70123092077188,12700.0,3512320.0,39.0
12800.0,6.255466213,5.232736549190247E-6,1000.0,93.51677450338642,133.33190560147327,12800.0,3540512.0,39.0
12900.0,6.319653296,5.291993758232664E-6,1000.0,70.81701343781728,105.8304389656245,12900.0,3568584.0,39.0
13000.0,6.374921243,5.343418576039798E-6,1000.0,66.02960771549222,102.98801568200633,13000.0,3596680.0,39.0
13100.0,6.429995477,5.395061745812895E-6,1000.0,73.80616198220825,117.93080696518538,13100.0,3624656.0,39.0
13200.0,6.483361574,5.444719832870819E-6,1000.0,86.1555535905412,132.04852051637624,13200.0,3596888.0,40.0
13300.0,6.538333146,5.496278909707996E-6,1000.0,94.48581227520899,136.76117441698503,13300.0,3625512.0,40.0
13400.0,6.592026834,5.547034701113932E-6,1000.0,97.11063097540267,137.91434917257524,13400.0,3653968.0,40.0
13500.0,6.645604273,5.598068366141974E-6,1000.0,78.19736934075908,114.53966994782269,13500.0,3681944.0,40.0
13600.0,6.702163274,5.65153608705821E-6,1000.0,70.24200205018704,107.45289889852009,13600.0,3654200.0,41.0
13700.0,6.756720241,5.703519597411427E-6,1000.0,69.13532041617702,110.05945468229045,13700.0,3683136.0,41.0
13800.0,6.812910414,5.757476412925659E-6,1000.0,89.00481163607942,135.75478726610285,13800.0,3711832.0,41.0
13900.0,6.867692405,5.8104700135203875E-6,1000.0,95.17258880745592,139.13117023297417,13900.0,3739280.0,41.0
14000.0,6.927175124,5.868452833811459E-6,1000.0,99.86424412926911,141.51348126754047,14000.0,3768000.0,41.0
14100.0,6.982133484,5.92164081784265E-6,1000.0,87.67932082097519,126.2644237059275,14100.0,3740952.0,42.0
14200.0,7.038781221,5.976058582712336E-6,1000.0,73.68810318298159,110.74805287312637,14200.0,3713304.0,43.0
14300.0,7.095802591,6.0312437109741475E-6,1000.0,66.53397743546724,105.5911959195651,14300.0,1.6871296E7,43.0
14400.0,7.226104572,6.158286193980973E-6,1000.0,87.84339326250594,136.3814427322528,14400.0,3768776.0,43.0
14500.0,7.281779787,6.212169784543707E-6,1000.0,93.11899284516814,139.89992012321642,14500.0,3741080.0,44.0
14600.0,7.335688349,6.263961335875092E-6,1000.0,100.54985777450617,144.22374479501138,14600.0,3713672.0,45.0
14700.0,7.392984531,6.319410410581515E-6,1000.0,96.26713429156361,138.9139449031678,14700.0,3740856.0,45.0
14800.0,7.448067411,6.37311619289963E-6,1000.0,74.72605953598934,113.24825046172799,14800.0,3768832.0,45.0
14900.0,7.506133909,6.430150531451535E-6,1000.0,69.01647729530853,109.14624617815194,14900.0,3796760.0,45.0
15000.0,7.563008439,6.486426773529568E-6,1000.0,83.1288593847031,132.36411162328616,15000.0,3824808.0,45.0
15100.0,7.618644982,6.541892460933437E-6,1000.0,93.10590484580572,142.2933975372222,15100.0,3853600.0,45.0
15200.0,7.676236573,6.599733661102402E-6,1000.0,101.12316749952421,146.8054159312344,15200.0,3882224.0,45.0
15300.0,7.73187092,6.656023527375836E-6,1000.0,102.66345001483228,147.176596319992,15300.0,3911016.0,45.0
15400.0,7.789245876,6.714490470222777E-6,1000.0,78.70949989727679,117.90343760737338,15400.0,3939040.0,45.0
15500.0,7.845720833,6.772448666714231E-6,1000.0,72.9970546179363,113.53308973713074,15500.0,3966992.0,45.0
15600.0,7.902146646,6.829961247740557E-6,1000.0,77.5999765651103,124.99385810713078,15600.0,3939920.0,46.0
15700.0,7.960284109,6.8896424587644215E-6,1000.0,93.95725919143155,144.4373306663559,15700.0,1.5087952E7,46.0
15800.0,8.090701341,7.024569163085296E-6,1000.0,101.70040576988653,148.61022204735943,15800.0,3999128.0,46.0
15900.0,8.152173827,7.086819263802774E-6,1000.0,104.21275095773241,149.58822811694492,15900.0,3914368.0,48.0
16000.0,8.210287433,7.146089309053417E-6,1000.0,86.26008482215397,127.11262025448805,16000.0,3942392.0,48.0
16100.0,8.269934083,7.207356814656328E-6,1000.0,74.84267970599664,115.46588517671674,16100.0,3970512.0,48.0
16200.0,8.328445765,7.2678961516533E-6,1000.0,70.32363365641184,113.43651957776174,16200.0,3999424.0,48.0
16300.0,8.388691986,7.329790618222043E-6,1000.0,94.86832922306962,147.55845542034527,16300.0,3971224.0,49.0
16400.0,8.44679035,7.389066881730409E-6,1000.0,100.24938385591774,150.07841366966989,16400.0,3943840.0,50.0
16500.0,8.505282745,7.447461969242619E-6,1000.0,105.33463457039682,152.68793899704718,16500.0,3859040.0,51.0
16600.0,8.56412632,7.506629143495766E-6,1000.0,95.13586735308827,139.78443724666033,16600.0,3886728.0,51.0
16700.0,8.62239023,7.5656344213647886E-6,1000.0,76.92898394386006,118.59664582257261,16700.0,3914656.0,51.0
16800.0,8.683930889,7.628400098796424E-6,1000.0,69.71858250620237,113.49493693077729,16800.0,3942416.0,51.0
16900.0,8.741569788,7.687608157138477E-6,1000.0,90.90826955051618,145.3741860634222,16900.0,3970704.0,51.0
17000.0,8.801910112,7.75001964959124E-6,1000.0,98.86337786013367,151.72500866940186,17000.0,3998152.0,51.0
17100.0,8.860120728,7.81065866192312E-6,1000.0,106.33795421362375,155.68435659920598,17100.0,1.3163808E7,51.0
17200.0,8.986904328,7.943649718000302E-6,1000.0,104.61618432312862,153.58661806413323,17200.0,4054728.0,51.0
17300.0,9.046777512,8.006888797041186E-6,1000.0,77.99870279115602,120.29365483169654,17300.0,4082776.0,51.0
17400.0,9.107847864,8.070954398640204E-6,1000.0,72.49174355284445,117.03658659666809,17400.0,4055056.0,52.0
17500.0,9.170775189,8.136501939950749E-6,1000.0,85.35526780188079,139.86457262116505,17500.0,4026424.0,53.0
17600.0,9.230225082,8.198001296278147E-6,1000.0,99.14891497616128,154.06832866797387,17600.0,3998728.0,54.0
17700.0,9.291640923,8.261987636340399E-6,1000.0,106.95265062114896,158.02729502572103,17700.0,4027256.0,54.0
17800.0,9.351230283,8.324513051959117E-6,1000.0,108.9119997818935,158.8145484932868,17800.0,4055928.0,54.0
17900.0,9.41070668,8.38735113242267E-6,1000.0,85.48041669411603,129.25312159170412,17900.0,4083952.0,54.0
18000.0,9.470889568,8.451368588334473E-6,1000.0,76.85261488431483,121.5692748404193,18000.0,4111760.0,54.0
18100.0,9.530974355,8.513971273248264E-6,1000.0,78.01672136940671,127.21786672270822,18100.0,4027456.0,56.0
18200.0,9.591965765,8.576205422212735E-6,1000.0,101.24616633188324,156.68870867050705,18200.0,3944232.0,58.0
18300.0,9.650776826,8.636653216154041E-6,1000.0,107.7133450517098,159.91290037389032,18300.0,3973048.0,58.0
18400.0,9.710203983,8.698175789183244E-6,1000.0,111.16614868054678,161.3644348914184,18400.0,4001768.0,58.0
18500.0,9.769584948,8.760074406964011E-6,1000.0,94.31598748878733,139.59451812177204,18500.0,1.506764E7,58.0
18600.0,9.900815931,8.897809357462943E-6,1000.0,78.92627587332643,123.03691675300165,18600.0,4057048.0,58.0
18700.0,9.961104913,8.961535398053208E-6,1000.0,72.88274092245365,119.48992368435444,18700.0,4085840.0,58.0
18800.0,10.021087905,9.025375477625607E-6,1000.0,97.89800252730903,154.35377375771833,18800.0,4114032.0,58.0
18900.0,10.082276381,9.090938364358034E-6,1000.0,103.9657548372106,158.11723123482219,18900.0,4141816.0,58.0
19000.0,10.143750044,9.157267767010603E-6,1000.0,109.57849463191359,160.8555881184737,19000.0,4170800.0,58.0
19100.0,10.206978412,9.224121050161097E-6,1000.0,103.09372876506093,153.344484044974,19100.0,4087080.0,59.0
19200.0,10.263932805,9.284753931289354E-6,1000.0,78.46387093265494,122.45162107493219,19200.0,4115128.0,59.0
19300.0,10.321254277,9.346185696777872E-6,1000.0,72.40758620103117,118.27505888176056,19300.0,4142648.0,59.0
19400.0,10.38073172,9.410359969174412E-6,1000.0,90.92030413885387,147.1093966755798,19400.0,4170720.0,59.0
19500.0,10.441167376,9.474274066196396E-6,1000.0,102.10692511206318,157.56092067955808,19500.0,4087952.0,61.0
19600.0,10.50118223,9.538187554444734E-6,1000.0,108.89829825117256,161.05232683926835,19600.0,4116576.0,61.0
19700.0,10.560127217,9.60053165098653E-6,1000.0,109.48350756722456,160.66098166003812,19700.0,4088376.0,62.0
19800.0,10.619569933,9.663835342397481E-6,1000.0,82.11976034547868,126.4641557953381,19800.0,4116544.0,62.0
19900.0,10.678732488,9.725550002171505E-6,1000.0,76.00673891378064,121.65699728978154,19900.0,1.7075432E7,64.0
20000.0,10.80963961,9.86307914915815E-6,1000.0,85.00752349146443,139.29240550211375,20000.0,4061008.0,64.0
